Pos,No.,Driver,Car,Time,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,1:29.990,France
2,44,Lewis Hamilton HAM,Mercedes,1:30.248,France
3,77,Valtteri Bottas BOT,Mercedes,1:30.376,France
4,11,Sergio Perez PER,Red Bull Racing Honda,1:30.445,France
5,55,Carlos Sainz SAI,Ferrari,1:30.840,France
6,10,Pierre Gasly GAS,AlphaTauri Honda,1:30.868,France
7,16,Charles Leclerc LEC,Ferrari,1:30.987,France
8,4,Lando Norris NOR,McLaren Mercedes,1:31.252,France
9,14,Fernando Alonso ALO,Alpine Renault,1:31.340,France
10,3,Daniel Ricciardo RIC,McLaren Mercedes,1:31.382,France
11,31,Esteban Ocon OCO,Alpine Renault,1:31.736,France
12,5,Sebastian Vettel VET,Aston Martin Mercedes,1:31.767,France
13,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:31.813,France
14,63,George Russell RUS,Williams Mercedes,1:32.065,France
15,47,Mick Schumacher MSC,Haas Ferrari,,France
16,6,Nicholas Latifi LAT,Williams Mercedes,1:33.062,France
17,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:33.354,France
18,9,Nikita Mazepin MAZ,Haas Ferrari,1:33.554,France
19,18,Lance Stroll STR,Aston Martin Mercedes,2:12.584,France
"Note - Stroll and Tsunoda failed to set a time within the Q1 107% requirement - race at stewards' discretion. Tsunoda penalised five grid places for an unscheduled gearbox change and required to start from the pit lane, as car modified whilst under Parc Ferme conditions."
