Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:05.143,,37,Austria
2,16,Charles Leclerc LEC,1:05.409,+0.266s,33,Austria
3,55,Carlos Sainz SAI,1:05.431,+0.288s,33,Austria
4,77,Valtteri Bottas BOT,1:05.445,+0.302s,31,Austria
5,22,Yuki Tsunoda TSU,1:05.474,+0.331s,35,Austria
6,7,Kimi Räikkönen RAI,1:05.586,+0.443s,28,Austria
7,44,Lewis Hamilton HAM,1:05.709,+0.566s,32,Austria
8,11,Sergio Perez PER,1:05.726,+0.583s,31,Austria
9,10,Pierre Gasly GAS,1:05.726,+0.583s,36,Austria
10,4,Lando Norris NOR,1:05.880,+0.737s,28,Austria
11,31,Esteban Ocon OCO,1:05.980,+0.837s,30,Austria
12,3,Daniel Ricciardo RIC,1:06.181,+1.038s,31,Austria
13,18,Lance Stroll STR,1:06.203,+1.060s,30,Austria
14,37,Guanyu Zhou ZHO,1:06.414,+1.271s,29,Austria
15,5,Sebastian Vettel VET,1:06.444,+1.301s,28,Austria
16,98,Callum Ilott ILO,1:06.564,+1.421s,23,Austria
17,47,Mick Schumacher MSC,1:06.583,+1.440s,29,Austria
18,45,Roy Nissany NIS,1:06.683,+1.540s,34,Austria
19,6,Nicholas Latifi LAT,1:06.978,+1.835s,36,Austria
20,9,Nikita Mazepin MAZ,1:07.316,+2.173s,30,Austria
